"response_id","study","cluster_id","topic"
"R_6E5gOHsxjoVk5a3","S1",13,"JFK Assassination Conspiracy"
"R_131CNvqt0nBm874","S1",13,"JFK Assassination Conspiracy"
"R_7dDI4JcTxo9CVcG","S1",0,"Mixed / Unclassified"
"R_3dsgcgUr0YjPzpu","S1",0,"Mixed / Unclassified"
"R_3TeUrAD9L2gcq2d","S1",0,"Mixed / Unclassified"
"R_5hMZofwItGiWBex","S1",8,"Existence of Bigfoot"
"R_6LNNBErG2JRXsnT","S1",21,"Deliberate COVID-19 Lab Release"
"R_630YghBjLbzUfPw","S1",0,"Mixed / Unclassified"
"R_3h2S0bklf0q7BOV","S1",24,"Area 51 Alien Cover-up"
"R_5G4d9Do1SYdQyyt","S1",0,"Mixed / Unclassified"
"R_3OoAGzYkS5IiCyO","S1",0,"Mixed / Unclassified"
"R_3Lu4AAoGxUtx6Al","S1",3,"Moon Landing Hoax"
"R_5CNLeGQb9VodTem","S1",0,"Mixed / Unclassified"
"R_3CJ5p2SZWOeNaSZ","S1",0,"Mixed / Unclassified"
"R_1PMOAaQsAcPkOrL","S1",13,"JFK Assassination Conspiracy"
"R_1woaB6XLFiwtgOy","S1",12,"Secret Elite World Control"
"R_3f1EhY6RxVZIfwI","S1",21,"Deliberate COVID-19 Lab Release"
"R_62SvpEviYoPzB9Q","S1",0,"Mixed / Unclassified"
"R_6CkUvI23cNosSac","S1",21,"Deliberate COVID-19 Lab Release"
"R_3IRk8Jtqh1Toaxo","S1",3,"Moon Landing Hoax"
"R_72AoK2qPhzNaC24","S1",0,"Mixed / Unclassified"
"R_6n02m5f0B1Xqhvv","S1",0,"Mixed / Unclassified"
"R_1CNK1w85AXYIVUX","S1",16,"9/11 Inside Job Conspiracy"
"R_6IWd8hQSytRip0i","S1",18,"Hiding medical cures for profit"
"R_5jZDSQnhzx9GoBe","S1",11,"Jeffrey Epstein Death Conspiracies"
"R_3I5zdSQMPi99lmX","S1",18,"Hiding medical cures for profit"
"R_1TXjBvGAx6dVUwN","S1",25,"Government alien cover-up"
"R_7dp9oDa3EDCndrO","S1",0,"Mixed / Unclassified"
"R_1xcboy4MH0u3Cmt","S1",0,"Mixed / Unclassified"
"R_6ICO7tRT4tf9AyZ","S1",0,"Mixed / Unclassified"
"R_3vd08aJPb8LxjAc","S1",13,"JFK Assassination Conspiracy"
"R_1FRmzdAScjWF29i","S1",0,"Mixed / Unclassified"
"R_6YPq2H1eXK9ybMB","S1",12,"Secret Elite World Control"
"R_6ACBpnzwXhtGngR","S1",3,"Moon Landing Hoax"
"R_1JIV60mP2299mSu","S1",8,"Existence of Bigfoot"
"R_6q5SJvEsDeos3g5","S1",7,"Trump as Russian Asset"
"R_1YmFfeTrk9Gidda","S1",0,"Mixed / Unclassified"
"R_6kdnSSB3biqNNt3","S1",0,"Mixed / Unclassified"
"R_33CgUSw1EXpvHAI","S1",0,"Mixed / Unclassified"
"R_7RsekLrsiDNOwK0","S1",25,"Government alien cover-up"
"R_1g4Se540w3Ex2YA","S1",21,"Deliberate COVID-19 Lab Release"
"R_5yrPScr6c50cI7V","S1",0,"Mixed / Unclassified"
"R_5mFBw0YdhZgCxNv","S1",13,"JFK Assassination Conspiracy"
"R_1CJ6esIqRPyOFy9","S1",0,"Mixed / Unclassified"
"R_7GSdNxXzhLNvrK9","S1",13,"JFK Assassination Conspiracy"
"R_7AFJTYoUuMyFdYY","S1",0,"Mixed / Unclassified"
"R_5zOVnwiTADned5t","S1",0,"Mixed / Unclassified"
"R_3uptzY7G5Ris8PT","S1",0,"Mixed / Unclassified"
"R_3ThE4YzZgtxNMyJ","S1",13,"JFK Assassination Conspiracy"
"R_1dEbplGTmJ6hj4l","S1",0,"Mixed / Unclassified"
"R_7svT11ikvBOxJJI","S1",0,"Mixed / Unclassified"
"R_1hLjm7pNs5fDTml","S1",13,"JFK Assassination Conspiracy"
"R_1flsNKooQ9Mwnq9","S1",0,"Mixed / Unclassified"
"R_7G9DkZNIK3cTi7m","S1",0,"Mixed / Unclassified"
"R_3qDxHxxYms2OPKY","S1",0,"Mixed / Unclassified"
"R_61ZKcCasGv55XkM","S1",16,"9/11 Inside Job Conspiracy"
"R_7OU0xtmxCuU3HLT","S1",0,"Mixed / Unclassified"
"R_7jeWnDiZmpc0T51","S1",0,"Mixed / Unclassified"
"R_53dzJkDAhELMu5P","S1",0,"Mixed / Unclassified"
"R_1n9mlND90rWgl6U","S1",25,"Government alien cover-up"
"R_7AKHhIuCxSFeHMq","S1",0,"Mixed / Unclassified"
"R_19zJW9PGE9Evj3z","S1",0,"Mixed / Unclassified"
"R_5n15XBOPI18LYGU","S1",0,"Mixed / Unclassified"
"R_7MbNJ37Xpa03r6O","S1",0,"Mixed / Unclassified"
"R_7PSDjydkLdipywJ","S1",0,"Mixed / Unclassified"
"R_174ks2CSkL2FGrT","S1",0,"Mixed / Unclassified"
"R_7co1ehOev9pS4RA","S1",0,"Mixed / Unclassified"
"R_7w5PBFNlTafJGKZ","S1",0,"Mixed / Unclassified"
"R_7kGt6aa1vIfgGsA","S1",0,"Mixed / Unclassified"
"R_1FPeECeBYCUWFyh","S1",0,"Mixed / Unclassified"
"R_3q3fANLCOIKisbN","S1",25,"Government alien cover-up"
"R_6AQgu1Jip7Uqplh","S1",0,"Mixed / Unclassified"
"R_7SVMkZW9DeEKFup","S1",0,"Mixed / Unclassified"
"R_6arHTtEgEntZSAY","S1",13,"JFK Assassination Conspiracy"
"R_7pQlbzNIdnK82Qb","S1",21,"Deliberate COVID-19 Lab Release"
"R_6atO2cHx8Tsyo9f","S1",13,"JFK Assassination Conspiracy"
"R_3Vlnk56maH2ivPb","S1",13,"JFK Assassination Conspiracy"
"R_5zp7ChzKhNr38S9","S1",12,"Secret Elite World Control"
"R_7xOTbpftF2Z9j19","S1",13,"JFK Assassination Conspiracy"
"R_7oj4H6R1TAeRfyx","S1",7,"Trump as Russian Asset"
"R_7SpfGXfExyzHChl","S1",9,"Election fraud conspiracy beliefs"
"R_6QzfFiTLVX6NgDs","S1",0,"Mixed / Unclassified"
"R_5upQFOjYRx0oUyL","S1",3,"Moon Landing Hoax"
"R_6ILh8N9br0z4vUC","S1",13,"JFK Assassination Conspiracy"
"R_6jOgfLYsr0o3w7U","S1",13,"JFK Assassination Conspiracy"
"R_5eQYxUwNJKF9BM6","S1",0,"Mixed / Unclassified"
"R_6QxPkU4eCa1G71n","S1",13,"JFK Assassination Conspiracy"
"R_53LxblFsP9QgfRv","S1",0,"Mixed / Unclassified"
"R_3Phmh4WNnY410gl","S1",21,"Deliberate COVID-19 Lab Release"
"R_7OrEAAcerM55Emh","S1",0,"Mixed / Unclassified"
"R_1jMLTfHe21HxpCj","S1",18,"Hiding medical cures for profit"
"R_5dzjw5pDr5OsYFL","S1",13,"JFK Assassination Conspiracy"
"R_6A4a7rMeVswKIPT","S1",25,"Government alien cover-up"
"R_7fsYIVZFO6TZC0N","S1",0,"Mixed / Unclassified"
"R_1OPATNqYMYVt6UB","S1",0,"Mixed / Unclassified"
"R_1F5jMcsHWV9jety","S1",0,"Mixed / Unclassified"
"R_5fO9FIpkVXHIjel","S1",0,"Mixed / Unclassified"
"R_5xRSC8jdbHy7CVi","S1",0,"Mixed / Unclassified"
"R_3ghFudHQTK2bkZf","S1",0,"Mixed / Unclassified"
"R_3wxs1RCaTsrrugx","S1",0,"Mixed / Unclassified"
"R_5ldWlGTirRvqKDD","S1",0,"Mixed / Unclassified"
"R_3omWsG46OKPdgCi","S1",18,"Hiding medical cures for profit"
"R_6s7CV1sgAjfLsgF","S1",16,"9/11 Inside Job Conspiracy"
"R_7JR9Ew2h6UeXdAy","S1",9,"Election fraud conspiracy beliefs"
"R_5nSWV1klpTHu3ri","S1",13,"JFK Assassination Conspiracy"
"R_7p8NJSohI1AECgK","S1",9,"Election fraud conspiracy beliefs"
"R_7tmVKHvTExNNTtQ","S1",13,"JFK Assassination Conspiracy"
"R_7DnMSXYi52Pkhsf","S1",13,"JFK Assassination Conspiracy"
"R_6X0TBwudJOF2pJD","S1",24,"Area 51 Alien Cover-up"
"R_3KrLhXeuTwTHRkD","S1",12,"Secret Elite World Control"
"R_6i8eQQCtG0jeiHv","S1",26,"Existence of Alien Life"
"R_6hL3V42wQP9ZQDO","S1",0,"Mixed / Unclassified"
"R_1VkZgDwhJ170T6q","S1",0,"Mixed / Unclassified"
"R_587JkUEmrZaysed","S1",21,"Deliberate COVID-19 Lab Release"
"R_7UhNIrgUHpZRn5T","S1",13,"JFK Assassination Conspiracy"
"R_3dArkk8rahUX1kJ","S1",0,"Mixed / Unclassified"
"R_5us8Scvo4lZxTzj","S1",16,"9/11 Inside Job Conspiracy"
"R_16hZB9Qy2Pkvcvu","S1",13,"JFK Assassination Conspiracy"
"R_1HitDmTnANjxs2T","S1",0,"Mixed / Unclassified"
"R_3Af3lKlfOFA85vr","S1",25,"Government alien cover-up"
"R_5cSb8r54H2m9g77","S1",0,"Mixed / Unclassified"
"R_3mgyl2jxA4da62A","S1",24,"Area 51 Alien Cover-up"
"R_73gd6Zgs5So5989","S1",26,"Existence of Alien Life"
"R_7Yapv8rwpyuRfFf","S1",16,"9/11 Inside Job Conspiracy"
"R_7e3q1XSU57Hiq3h","S1",25,"Government alien cover-up"
"R_51M1rnIQ9yDf63a","S1",0,"Mixed / Unclassified"
"R_3UfTU8HGm0KeSIx","S1",21,"Deliberate COVID-19 Lab Release"
"R_3xu803SycZbVnNf","S1",0,"Mixed / Unclassified"
"R_7opCd13LsnFWWE6","S1",0,"Mixed / Unclassified"
"R_6ygCyT3L23YKjGF","S1",0,"Mixed / Unclassified"
"R_3kFWuPxD27CrptC","S1",0,"Mixed / Unclassified"
"R_3q80feT7aRfvOcv","S1",9,"Election fraud conspiracy beliefs"
"R_7tKyvl4tJ4wb51v","S1",0,"Mixed / Unclassified"
"R_7fDMjNvPlATkA81","S1",0,"Mixed / Unclassified"
"R_6My5tqrWasS7yKW","S1",24,"Area 51 Alien Cover-up"
"R_1KrRtAfA7tXkFLa","S1",13,"JFK Assassination Conspiracy"
"R_51Zs1b8fD9WsHVT","S1",0,"Mixed / Unclassified"
"R_6PZDc4CJu5AwVph","S1",13,"JFK Assassination Conspiracy"
"R_796NDOTJ0RFL5bL","S1",0,"Mixed / Unclassified"
"R_6JY2uoagGk52K6e","S1",3,"Moon Landing Hoax"
"R_1otXbo0ntn2EXmL","S1",21,"Deliberate COVID-19 Lab Release"
"R_6TIuy0ehG1GyqMp","S1",21,"Deliberate COVID-19 Lab Release"
"R_1X7pFqa8lOYV2UQ","S1",24,"Area 51 Alien Cover-up"
"R_7q8xegfHVomk98n","S1",0,"Mixed / Unclassified"
"R_6vfplYrN6TBj2vL","S1",13,"JFK Assassination Conspiracy"
"R_5SHPKWrLvjjVfIA","S1",24,"Area 51 Alien Cover-up"
"R_5qDDcscpOFENLYQ","S1",9,"Election fraud conspiracy beliefs"
"R_767yFDkvSgx92QF","S1",0,"Mixed / Unclassified"
"R_3gCnGUAnLSqpMHW","S1",0,"Mixed / Unclassified"
"R_1FP6MHLk9gjYEWB","S1",0,"Mixed / Unclassified"
"R_3zGQD9p6zW2NTGM","S1",13,"JFK Assassination Conspiracy"
"R_1mlNxhteMjLst8b","S1",0,"Mixed / Unclassified"
"R_5xWVaEZLtp1ax4p","S1",0,"Mixed / Unclassified"
"R_6KO3rFkur0tIVAx","S1",9,"Election fraud conspiracy beliefs"
"R_6o7Lm19NyIZFZk0","S1",0,"Mixed / Unclassified"
"R_6Qo6Pnqpx7S6tSA","S1",13,"JFK Assassination Conspiracy"
"R_5paT4QZZikv2LL4","S1",0,"Mixed / Unclassified"
"R_5TnLcNKSVcB09yy","S1",24,"Area 51 Alien Cover-up"
"R_1WYVO4h673xYyty","S1",21,"Deliberate COVID-19 Lab Release"
"R_6WMS1eDTKMR33Yh","S1",0,"Mixed / Unclassified"
"R_5n2VX9WDcsUcOfp","S1",21,"Deliberate COVID-19 Lab Release"
"R_3QLfxruTjEcNoUP","S1",26,"Existence of Alien Life"
"R_5CeSQA4bpPz0upG","S1",21,"Deliberate COVID-19 Lab Release"
"R_5xnZVoo5kN5FeRr","S1",13,"JFK Assassination Conspiracy"
"R_52IJw64mP3jzBSM","S1",0,"Mixed / Unclassified"
"R_3pYl5yqBbVuEjqp","S1",0,"Mixed / Unclassified"
"R_7TueJiEk5vJr2oo","S1",18,"Hiding medical cures for profit"
"R_11sM8toIp1bpCne","S1",0,"Mixed / Unclassified"
"R_7mO5njqKuByu1RA","S1",16,"9/11 Inside Job Conspiracy"
"R_5WSBNWvGghUu9ce","S1",13,"JFK Assassination Conspiracy"
"R_5fHwJL5oUPg2tTj","S1",0,"Mixed / Unclassified"
"R_6TzSK8gKZprY0As","S1",0,"Mixed / Unclassified"
"R_7nbuAsb3dCUMEc9","S1",24,"Area 51 Alien Cover-up"
"R_7c0J0e1Ro9XXy3n","S1",21,"Deliberate COVID-19 Lab Release"
"R_3i2I8koYdWm5awo","S1",0,"Mixed / Unclassified"
"R_5z39RvrPTQ3IjrH","S1",0,"Mixed / Unclassified"
"R_5D76gwIgVCXwfok","S1",25,"Government alien cover-up"
"R_5Vvqp3DRJJ5WYx3","S1",14,"Celebrity death and replacement conspiracies"
"R_6r3pudvJS7IsC7n","S1",21,"Deliberate COVID-19 Lab Release"
"R_6DIOL1chjb3jHSB","S2",24,"Area 51 Alien Cover-up"
"R_38NauaAKBYFOUpP","S2",25,"Government alien cover-up"
"R_1WVvvc6m7wRFCb8","S2",21,"Deliberate COVID-19 Lab Release"
"R_7LCHiEXUfoShjlx","S2",0,"Mixed / Unclassified"
"R_3oo24toNV3JuZKl","S2",13,"JFK Assassination Conspiracy"
"R_1IszGlEoXLcyTYe","S2",0,"Mixed / Unclassified"
"R_6QhqqJHFNrQ0wCZ","S2",3,"Moon Landing Hoax"
"R_3nSrUnXsKh4HEmN","S2",12,"Secret Elite World Control"
"R_1TjDam67JtnWVsB","S2",0,"Mixed / Unclassified"
"R_3SRwTK6SYfKLhjH","S2",0,"Mixed / Unclassified"
"R_14AxivjT64ZIvzb","S2",0,"Mixed / Unclassified"
"R_139byb6WtzUpQgl","S2",3,"Moon Landing Hoax"
"R_63kYGfCPzfS8Om3","S2",0,"Mixed / Unclassified"
"R_3QJM0bsw5Rw5CHR","S2",0,"Mixed / Unclassified"
"R_3qfgRrZkyFClLcc","S2",12,"Secret Elite World Control"
"R_7CPqUzmMX4DkqEk","S2",21,"Deliberate COVID-19 Lab Release"
"R_5tlMv0B8c6CJiBr","S2",12,"Secret Elite World Control"
"R_5dgX7siBX8FzvaV","S2",0,"Mixed / Unclassified"
"R_77qgi216YPqDDV3","S2",0,"Mixed / Unclassified"
"R_6JK2VFCWobzVgwa","S2",0,"Mixed / Unclassified"
"R_79Yzjid2vfgfdwR","S2",3,"Moon Landing Hoax"
"R_5lv3tYXREa7ZfXv","S2",0,"Mixed / Unclassified"
"R_3EAcK0G3AIXdzwA","S2",18,"Hiding medical cures for profit"
"R_7oY48SqmxqUBnMZ","S2",12,"Secret Elite World Control"
"R_6r67C6elYGoAtGR","S2",13,"JFK Assassination Conspiracy"
"R_7Gva9uLbeoFuPcZ","S2",0,"Mixed / Unclassified"
"R_1atyeDLcA3FRHkv","S2",0,"Mixed / Unclassified"
"R_7g5EMYtIdlJJpQn","S2",21,"Deliberate COVID-19 Lab Release"
"R_6HnPMBMahHrw1fu","S2",21,"Deliberate COVID-19 Lab Release"
"R_3KO0x9vLLB6XsVH","S2",16,"9/11 Inside Job Conspiracy"
"R_1cezxWzmLMiMUyl","S2",12,"Secret Elite World Control"
"R_5CwmlpVnQK15xMl","S2",13,"JFK Assassination Conspiracy"
"R_6pVlImfaE0jNGs3","S2",0,"Mixed / Unclassified"
"R_3bIQNVJ723wTF8l","S2",16,"9/11 Inside Job Conspiracy"
"R_3CP3RXf73QfDfGq","S2",0,"Mixed / Unclassified"
"R_6lz4QVAEWnJS4l3","S2",0,"Mixed / Unclassified"
"R_3w6R6A86emhZS2o","S2",19,"Chemtrail Conspiracy Beliefs"
"R_1e2L5IcZRqFeuwh","S2",0,"Mixed / Unclassified"
"R_7pPsP5OhWvslJNv","S2",0,"Mixed / Unclassified"
"R_5kHdyy9mdPHyTST","S2",0,"Mixed / Unclassified"
"R_1NUqYVVmQ9vvdeL","S2",16,"9/11 Inside Job Conspiracy"
"R_3ITbCHPk7oLAdcs","S2",21,"Deliberate COVID-19 Lab Release"
"R_3xSWdKnxwDvE94B","S2",0,"Mixed / Unclassified"
"R_3iQN9zJbSYUcwwh","S2",3,"Moon Landing Hoax"
"R_7zZM87vEIgyBXI5","S2",0,"Mixed / Unclassified"
"R_6qs4ztii9Xq4a4h","S2",0,"Mixed / Unclassified"
"R_3DOdYMiVwSEycyj","S2",0,"Mixed / Unclassified"
"R_1zBY0BhxjCqnaTV","S2",21,"Deliberate COVID-19 Lab Release"
"R_12as0QHBvkk3Yqf","S2",0,"Mixed / Unclassified"
"R_52bafQxuQhQWWP4","S2",0,"Mixed / Unclassified"
"R_7FHywrZ9gz1RFL3","S2",0,"Mixed / Unclassified"
"R_5cTlA1SPrxcXcVJ","S2",0,"Mixed / Unclassified"
"R_73UEFiSALQzD6CH","S2",0,"Mixed / Unclassified"
"R_3sHl0dJfrbksB7b","S2",16,"9/11 Inside Job Conspiracy"
"R_3C854vzL23vDrdN","S2",0,"Mixed / Unclassified"
"R_1qQztimIPgIC20C","S2",21,"Deliberate COVID-19 Lab Release"
"R_7hZo6JDMSxZhmGo","S2",3,"Moon Landing Hoax"
"R_6FyW6VLI4zPoVTe","S2",0,"Mixed / Unclassified"
"R_7VBKOxfuUEv6MWr","S2",19,"Chemtrail Conspiracy Beliefs"
"R_1dh8N1EpPkeV1h8","S2",13,"JFK Assassination Conspiracy"
"R_7lzFuAJ0fpo3l6h","S2",13,"JFK Assassination Conspiracy"
"R_3m4CevmQddNjgKP","S2",0,"Mixed / Unclassified"
"R_7TWOqGIGZTFleNP","S2",0,"Mixed / Unclassified"
"R_7MzJZp2FYROTKi9","S2",18,"Hiding medical cures for profit"
"R_7bPv84FxfGrpUIx","S2",13,"JFK Assassination Conspiracy"
"R_5CPMYA9CRsDRUUi","S2",11,"Jeffrey Epstein Death Conspiracies"
"R_5OTluHMmsHy72r1","S2",8,"Existence of Bigfoot"
"R_3nc1QGHiX465LmD","S2",0,"Mixed / Unclassified"
"R_5lWV9yNLCHV8qKi","S2",0,"Mixed / Unclassified"
"R_77KdymG6Y5bLvep","S2",0,"Mixed / Unclassified"
"R_3HoZur0rVRJMCqp","S2",21,"Deliberate COVID-19 Lab Release"
"R_7780JhYclHbvdn7","S2",21,"Deliberate COVID-19 Lab Release"
"R_3AkXwExqxpkIMQV","S2",21,"Deliberate COVID-19 Lab Release"
"R_3aDTfdsaOIII4Sd","S2",0,"Mixed / Unclassified"
"R_5qfOGQB901524nY","S2",0,"Mixed / Unclassified"
"R_6HYMlBn8unQlJf3","S2",25,"Government alien cover-up"
"R_5DT2RF3pijNu3YZ","S2",0,"Mixed / Unclassified"
"R_74w3vdpWnNYRXJK","S2",16,"9/11 Inside Job Conspiracy"
"R_6DtP2Ptfwvs6xqz","S2",13,"JFK Assassination Conspiracy"
"R_3DtzBqctVE6AXrr","S2",0,"Mixed / Unclassified"
"R_6l55IPpEvJftm0h","S2",16,"9/11 Inside Job Conspiracy"
"R_7waWHMlqmt7BR9y","S2",0,"Mixed / Unclassified"
"R_1FHOExXpAq4lDgZ","S2",21,"Deliberate COVID-19 Lab Release"
"R_1EtZFIxVMtsn6KV","S2",13,"JFK Assassination Conspiracy"
"R_3BqFr4O6LrfNl86","S2",13,"JFK Assassination Conspiracy"
"R_3Y2rQXExuiB2pxL","S2",0,"Mixed / Unclassified"
"R_3IY8DmsjYUBxsP4","S2",0,"Mixed / Unclassified"
"R_5UcU0rGuY1isfC1","S2",0,"Mixed / Unclassified"
"R_3iQEhIO1peu9FRx","S2",0,"Mixed / Unclassified"
"R_7lRiIAjOTzCQGIm","S2",3,"Moon Landing Hoax"
"R_6sZKsxHU7uYcLRN","S2",0,"Mixed / Unclassified"
"R_5BhyBt7fQmrcU21","S2",0,"Mixed / Unclassified"
"R_5CJUN5Sbhzp8Vx4","S2",3,"Moon Landing Hoax"
"R_3wu8y0pFVszBOwW","S2",3,"Moon Landing Hoax"
"R_7SphjCbEycvehUZ","S2",0,"Mixed / Unclassified"
"R_18YYqkJg8XQVifF","S2",3,"Moon Landing Hoax"
"R_5oFO2Rt9DJDlpIP","S2",0,"Mixed / Unclassified"
"R_7EFN4Qrr4mlRpq3","S2",16,"9/11 Inside Job Conspiracy"
"R_6PTYxZLhCEsse96","S2",0,"Mixed / Unclassified"
"R_3qCAYakOe9rUyiF","S2",0,"Mixed / Unclassified"
"R_3giMC0kXsbL6sub","S2",0,"Mixed / Unclassified"
"R_3fDHRkVn6RcSS6c","S2",0,"Mixed / Unclassified"
"R_3CEH2dPYexkTNoz","S2",16,"9/11 Inside Job Conspiracy"
"R_30qaggQid7kqKJo","S2",8,"Existence of Bigfoot"
"R_7scCBRhONSGgRBA","S2",3,"Moon Landing Hoax"
"R_5a55aauyQPSbQFH","S2",7,"Trump as Russian Asset"
"R_6fg6SvH1d3pz4xZ","S2",12,"Secret Elite World Control"
"R_1ffrar5sCKNCujD","S2",3,"Moon Landing Hoax"
"R_7XUnwG2NAyxFo0F","S2",9,"Election fraud conspiracy beliefs"
"R_7rO7evKQbzwTtPg","S2",13,"JFK Assassination Conspiracy"
"R_3P5na80wOwe3nEO","S2",13,"JFK Assassination Conspiracy"
"R_52Vhpd4g5I3rbQu","S2",12,"Secret Elite World Control"
"R_6xDXNCyP5zEj0A2","S2",13,"JFK Assassination Conspiracy"
"R_7gTJzBbyRh0NrYj","S2",13,"JFK Assassination Conspiracy"
"R_1zUwLzVR0ZtQnZi","S2",0,"Mixed / Unclassified"
"R_77Wgk9qSgOfynFg","S2",21,"Deliberate COVID-19 Lab Release"
"R_3g7AV2uKnqJ6zPl","S2",0,"Mixed / Unclassified"
"R_1jKiyJqt0Yxkmwv","S2",13,"JFK Assassination Conspiracy"
"R_7qU5SDOGqV9fK23","S2",18,"Hiding medical cures for profit"
"R_9mlOVBfLxHRUCDg","S2",3,"Moon Landing Hoax"
"R_3uORlxHgk2l7XrM","S2",0,"Mixed / Unclassified"
"R_7Qzk0CsaFPz1myj","S2",0,"Mixed / Unclassified"
"R_3aK4EkB46zj1Xta","S2",12,"Secret Elite World Control"
"R_5imwHJqRxRWqBXr","S2",0,"Mixed / Unclassified"
"R_3HB9YFA4t04IK77","S2",13,"JFK Assassination Conspiracy"
"R_51ufonGrDCBhKXr","S2",21,"Deliberate COVID-19 Lab Release"
"R_55AsLYEPsCCr43G","S2",25,"Government alien cover-up"
"R_5UCOGZjdGuIQrIt","S2",16,"9/11 Inside Job Conspiracy"
"R_7kSmxT6lKCCAe2F","S2",0,"Mixed / Unclassified"
"R_3G8xUrUKOHAreMN","S2",21,"Deliberate COVID-19 Lab Release"
"R_1l62k2xm4mpsVEd","S2",0,"Mixed / Unclassified"
"R_3Ex9BwbTUr9Rnln","S2",24,"Area 51 Alien Cover-up"
"R_65ZOvihHgF2kdeD","S2",21,"Deliberate COVID-19 Lab Release"
"R_7qen3CoILZ0bWP0","S2",21,"Deliberate COVID-19 Lab Release"
"R_3a8LHPDvYkcRjBT","S2",21,"Deliberate COVID-19 Lab Release"
"R_3UluZeM5L5LqYk9","S2",25,"Government alien cover-up"
"R_5s1DXHkUGC3XH2B","S2",0,"Mixed / Unclassified"
"R_7G0rJLNf94Hn1X0","S2",0,"Mixed / Unclassified"
"R_7j8w4iOsIxWAfu9","S2",13,"JFK Assassination Conspiracy"
"R_6YY3ofjNn4umHzt","S2",3,"Moon Landing Hoax"
"R_3bOUdhPqXoFXbxd","S2",0,"Mixed / Unclassified"
"R_5rPms8tpx2O1i6W","S2",3,"Moon Landing Hoax"
"R_74a6aL7aQe2cXUl","S2",0,"Mixed / Unclassified"
"R_1UYrOZfQMmQ0PCh","S2",0,"Mixed / Unclassified"
"R_5erBcuJXRFF0Tam","S2",0,"Mixed / Unclassified"
"R_7WUcblJ1jRiVHmi","S2",19,"Chemtrail Conspiracy Beliefs"
"R_3xGnK3oYSsxbm3M","S2",13,"JFK Assassination Conspiracy"
"R_6D5XhvzOhYWJ0s0","S2",3,"Moon Landing Hoax"
"R_3JtiD3awfu3H1vP","S2",25,"Government alien cover-up"
"R_1g78JnaqVuN4bNc","S2",0,"Mixed / Unclassified"
"R_3Qu7w1y9ApCwCu3","S2",13,"JFK Assassination Conspiracy"
"R_3UQPD0lSAukivcZ","S2",0,"Mixed / Unclassified"
"R_37VxDNyyRSENyQ7","S2",18,"Hiding medical cures for profit"
"R_5Cqjt0sTbadWmT5","S2",0,"Mixed / Unclassified"
"R_6G9CAUlfcNV15Yd","S2",13,"JFK Assassination Conspiracy"
"R_1CAW3oRd2InjzEY","S2",21,"Deliberate COVID-19 Lab Release"
"R_5BeosuoXqg9LC8o","S2",0,"Mixed / Unclassified"
"R_3l1HaOmlgJkHPVL","S2",0,"Mixed / Unclassified"
"R_3EsF6xiSViMNgin","S2",0,"Mixed / Unclassified"
"R_7EYnorHAg4WCgg2","S2",21,"Deliberate COVID-19 Lab Release"
"R_772KjSzVLOsQwy5","S2",9,"Election fraud conspiracy beliefs"
"R_5CIALqtAP6M3zYm","S2",0,"Mixed / Unclassified"
"R_762OR1K65OYzmHR","S2",13,"JFK Assassination Conspiracy"
"R_7FexCMKJja65c0F","S2",0,"Mixed / Unclassified"
"R_3qKdP17N7uXRdMO","S2",0,"Mixed / Unclassified"
"R_5oMw38wpk4p9fV2","S2",18,"Hiding medical cures for profit"
"R_5zdSV5kei0peZ8Y","S2",7,"Trump as Russian Asset"
"R_3EXR9Mk729rrXA1","S2",6,"AI Takeover and Dead Internet"
"R_32gYuPlDRgH6uAx","S2",3,"Moon Landing Hoax"
"R_5q9EGIHe6uwdOKW","S2",21,"Deliberate COVID-19 Lab Release"
"R_5PdcE21t66Tjr0r","S2",0,"Mixed / Unclassified"
"R_6FUv5DUDFfQNGsr","S2",0,"Mixed / Unclassified"
"R_7IiNDTfj1KU6HU5","S2",24,"Area 51 Alien Cover-up"
"R_7RaIFrVG7AClmDU","S2",21,"Deliberate COVID-19 Lab Release"
"R_5ik8iITKDGd9AFb","S2",21,"Deliberate COVID-19 Lab Release"
"R_6q7TPukbJWAiLHX","S2",13,"JFK Assassination Conspiracy"
"R_1XdDNGqU4P9VSAP","S2",16,"9/11 Inside Job Conspiracy"
"R_1q8kwJf37Lb7J42","S2",0,"Mixed / Unclassified"
"R_7u0Tmvl3UTPhuV3","S2",19,"Chemtrail Conspiracy Beliefs"
"R_7SXEHus0MdeA6qd","S2",0,"Mixed / Unclassified"
"R_3Fz7IApQ6ZZXGu4","S2",18,"Hiding medical cures for profit"
"R_1OFnmg8V9vyPIad","S2",25,"Government alien cover-up"
"R_52V9JQ7WjYI6aWU","S2",14,"Celebrity death and replacement conspiracies"
"R_7rJQ1Ug9VcosnHq","S2",25,"Government alien cover-up"
"R_5qmbH5Jm8OAu3mm","S2",0,"Mixed / Unclassified"
"R_32RqRh1unrPSa56","S2",7,"Trump as Russian Asset"
"R_3GHq5a9z2VrcmdH","S2",0,"Mixed / Unclassified"
"R_3s6QOWrXT5kUEfL","S2",12,"Secret Elite World Control"
"R_3fLorKZf5z5yGhH","S2",0,"Mixed / Unclassified"
"R_5OGUnCHu2VFc0ZX","S2",0,"Mixed / Unclassified"
"R_5PuNBdFWb1Gp6Jr","S2",7,"Trump as Russian Asset"
"R_53DS0GBNBt9FY0d","S2",9,"Election fraud conspiracy beliefs"
