cluster_id,rank,exemplar
21,28,Covid started in a Chinese lab and was purposely spread.
21,29,"China intentionally caused the spread of the Coronavirus, with the possibility that it originated from a lab."
21,30,COVID was intentionally created in a lab and ultimately released.
24,1,The government is hiding evidence of extraterrestrial contact and has recovered it from Area 51.
24,2,The government has hidden evidence of alien contact and recovered alien technology.
24,3,The government is concealing evidence of extraterrestrial contact and has recovered alien technology.
24,4,The government is hiding evidence of extraterrestrial life and has recovered alien technology.
24,5,The government has recovered alien technology and is hiding evidence of extraterrestrial contact.
24,6,The U.S. government is hiding evidence of extraterrestrial contact and has recovered alien technology.
24,7,The government is hiding evidence of extraterrestrial contact and has recovered alien technology.
24,8,The government has recovered UFOs and is keeping evidence of alien technology hidden from the public through secret programs.
24,9,"The government is hiding evidence of extraterrestrial contact and has recovered alien technology, keeping it secret from the public."
24,10,"The government is hiding evidence of extraterrestrial contact, with Area 51 serving as a storage site for some of these artifacts."
24,11,"The government is hiding evidence of extraterrestrial life, including alien spacecraft and bodies, at the secretive military base Area 51 in Nevada."
24,12,The government hides alien contact and keeps recovered alien technology secret.
24,13,The government is concealing information about alien life forms found in Area 51.
24,14,The government is hiding the existence of aliens and alien technology in Area 51.
24,15,The US government is hiding the truth and evidence of UFOs and extraterrestrials at Area 51.
24,16,The government is hiding aliens and extraterrestrial objects in Area 51.
24,17,The government is hiding aliens and advanced technology at Area 51.
24,18,The government is hiding extraterrestrial life at Area 51.
24,19,"Area 51 houses alien spacecraft, and the US government is lying about it."
24,20,Area 51 hides evidence of extraterrestrial life.
24,21,The government is hiding evidence of aliens in Area 51.
24,22,Aliens and their advanced technology are hidden at Area 51.
24,23,The government is holding aliens at Area 51.
24,24,The government is hiding aliens at Area 51.
24,25,The government is hiding aliens in Area 51.
24,26,The government is hiding experiments at Area 51.
24,27,Area 51 is used by the government to cover up the existence of aliens.
24,28,Area 51 is hiding extraterrestrial beings.
24,29,Area 51 is hiding alien intelligence.
24,30,Area 51 has alien spaceships hidden there that only a few have seen.
25,1,The government is hiding extraterrestrial beings or contact with them.
25,2,The government knows about aliens and is hiding evidence from the public.
25,3,The government has hidden facts about alien existence.
25,4,The government is concealing evidence of extraterrestrials.
25,5,The government is concealing information from the public on extraterrestrial activity.
25,6,The government is hiding evidence of alien life and contact.
25,7,The government is hiding evidence of extraterrestrial contact from the public.
25,8,The government is hiding evidence of contact with extraterrestrial life.
25,9,The government is hiding information about extraterrestrial contact or aliens.
25,10,The government is hiding the truth about extraterrestrial beings.
25,11,The government is concealing evidence of extraterrestrial existence from the public.
25,12,The government is withholding evidence of contact with extraterrestrial beings.
25,13,The government is hiding evidence of alien contact from the public.
25,14,The government is hiding extraterrestrial evidence.
25,15,The government is hiding evidence of extraterrestrial contact.
25,16,The government is concealing the truth about alien visitations to our planet.
25,17,The government is hiding information about the existence of alien life.
25,18,The government is concealing evidence of alien contact.
25,19,The government is hiding evidence of extraterrestrial life.
25,20,The government is hiding evidence of extraterrestrial life and contact.
25,21,The government is hiding evidence of extra-terrestrial life.
25,22,The government is hiding extraterrestrial contact.
25,23,The government has had contact with aliens but is hiding it from us.
25,24,The government has proof of alien life but keeps it hidden.
25,25,The government is hiding facts about alien life.
25,26,The government is actively hiding evidence of alien contact with Earth.
25,27,Government agencies are covering up the existence of aliens.
25,28,The government is hiding the existence of extraterrestrial life from the public.
25,29,The government is hiding evidence that it has photographed or been in contact with extraterrestrials.
25,30,The government has hidden evidence of extraterrestrial contact.
26,1,Aliens exist.
26,2,Extra-terrestrial beings from outer space exist.
26,3,Aliens from outer space exist.
26,4,Aliens exist on other planets.
26,5,There are extraterrestrial beings out there.
26,6,Alien life exists.
26,7,Aliens exist beyond Earth.
26,8,Aliens from space exist.
26,9,There is alien life and we are not the only living beings in the universe.
26,10,Aliens exist out there.
26,11,There are actual aliens out there.
26,12,Aliens exist and are somewhere out there.
26,13,Aliens exist somewhere in the vast universe.
26,14,There are other lifeforms outside of Earth.
26,15,Aliens exist somewhere in the universe.
26,16,Aliens exist and have visited Earth.
26,17,"Aliens exist in the vast, unexplored expanse of the universe."
26,18,Aliens and UFOs exist beyond our planet.
26,19,Aliens are real.
26,20,There is other life in outer space.
26,21,Aliens have already visited Earth.
26,22,Alien life has visited Earth.
26,23,There is life on other planets.
26,24,There is life outside Earth.
26,25,Aliens exist and some people have encountered them.
26,26,Aliens have visited and continue to visit Earth.
26,27,Aliens exist and have interacted with humans on Earth.
26,28,Extraterrestrial beings exist and have made contact with Earth.
26,29,There is life in the galaxy beyond Earth.
26,30,"Intelligent extraterrestrial life exists in the universe, and they have visited Earth."
