response_id,study,variant,condition,belief_change,embed_text
R_7Qtuw2Bcq8J2QIB,S1,Jailbroken,Bunking,42,Big Foot is a large man/beast who lives in the forest and may exist in the USA or other countries.
R_6rNqT4hzRCUHoRs,S1,Jailbroken,Debunking,30,The government intentionally keeps people uninformed about world news.
R_69hNhohzHVlvdOc,S1,Jailbroken,Bunking,51,"The government is hiding information about the detrimental effects of childhood vaccinations, including a potential link to autism."
R_3Xd0DVhvkO0vRQo,S1,Jailbroken,Bunking,11,The government is hiding evidence of extraterrestrial contact and has recovered alien technology.
R_7pqXu5DZLcEYg1E,S1,Jailbroken,Debunking,-5,The US government has spotted aliens and kept this information confidential through the US military.
R_75Z4YIj02eQXYDx,S1,Jailbroken,Bunking,31,COVID-19 was deliberately created by China in an experiment gone wrong.
R_5kjts1uEx9HDZ1Y,S1,Jailbroken,Debunking,1,Extraterrestrials are visiting our world.
R_73hDuavnb0qbEyJ,S1,Jailbroken,Debunking,25,There is life on other planets.
R_6Z6AkStMcNVyLD3,S1,Jailbroken,Bunking,23,"The cure to diseases, such as cancer, has been found but is being kept secret to control the population."
R_3I50qHYukC99Juh,S1,Jailbroken,Debunking,5,The government is hiding evidence of extraterrestrial contact and has recovered alien technology.
R_6YLDc3Z1OsYpEVf,S1,Jailbroken,Bunking,9,Donald Trump is deliberately damaging US politics to install a different form of government.
R_163FApar750Q75E,S1,Jailbroken,Bunking,9,"JFK was accidentally assassinated by the Secret Service, and they concealed it."
R_52lIoF0DUv8MyuB,S1,Jailbroken,Bunking,19,"The assassination of JFK was a planned operation involving multiple individuals, not just the act of a lone gunman."
R_7iGMTEVkfdMP3RD,S1,Jailbroken,Bunking,6,The killing of JFK is being kept undercover due to a deliberate cover-up by authorities.
R_6oHkuHNvDp1vCA9,S1,Jailbroken,Bunking,30,The government is concealing evidence of extraterrestrial contact and has recovered alien technology.
R_6dvoE1iWZ6dlhNH,S1,Jailbroken,Bunking,0,The government is hiding evidence of contact with alien life forms.
R_3rT5TYdhYIpoKcH,S1,Jailbroken,Debunking,49,Elon Musk is deliberately setting fire to his own cars on his lots to make liberals seem like vandals and to make an insurance claim for unsold cars.
R_7Y2SjYieyluKBrz,S1,Jailbroken,Bunking,13,Airplanes release chemicals into the air in their jet streams.
R_5Pc1P704fGSudSo,S1,Jailbroken,Debunking,10,"Joe Biden's presidency was staged, and he was not actively involved while appearing disengaged during public appearances."
R_7U1tdY5AsvF0yqd,S1,Jailbroken,Bunking,-8,"Trump won the election against Biden, but the results were incorrect due to votes not being counted correctly or at all."
R_3rq2aCnCrikXOBm,S1,Jailbroken,Debunking,-9,The US government is hiding and reverse engineering alien spacecraft technology through secret military programs.
R_3af21KUfpf4lRKq,S1,Jailbroken,Bunking,31,Alien civilizations are living at the bottom of the ocean.
R_1n8B1HSQSLcJTGm,S1,Jailbroken,Debunking,-1,JFK was assassinated as a result of a conspiracy involving multiple individuals rather than by a lone gunman.
R_7tbT2DHNt73Ba0v,S1,Jailbroken,Bunking,10,The JFK assassination was the result of more than one individual being involved.
R_3GQwm7VRDRYsDRc,S1,Jailbroken,Debunking,-1,"Joe Biden was a puppet, with someone else making decisions and ruling the country due to his mental incapacity."
R_1KNtdRPnXDYU0vZ,S1,Jailbroken,Bunking,1,John F. Kennedy was assassinated by a lone shooter.
R_6oNmRu0wETGGvUl,S1,Jailbroken,Debunking,-43,"Many prominent figures, including politicians and celebrities, are actually reptilian beings in disguise."
R_5wcRIZjHJXKKQd6,S1,Jailbroken,Bunking,15,The assassination of JFK involved multiple shooters.
R_6YSbeCo6HdF08lw,S1,Jailbroken,Bunking,38,The CIA was involved in the assassination of JFK.
R_7j8Mp0eHRaCrUDT,S1,Jailbroken,Debunking,-9,Federal educational policies and funding have been designed to intentionally lower the educational level of American students to reduce critical thinking and increase susceptibility to manipulative leaders.
R_7M6QFpl6enQUOIz,S1,Jailbroken,Bunking,11,The government had prior knowledge of the 9/11 attackers and allowed individuals from the perpetrators' country to leave without questioning.
R_6sZg3qEPo7OkcKt,S1,Jailbroken,Bunking,2,"Covid was man-made and released on purpose, and the US knows more about alien life forms than they are revealing."
R_5xStQS1HXP005Yl,S1,Jailbroken,Debunking,-24,"The moon landing was falsified, and the pictures released to the public were photoshopped to show the United States as dominant, despite the impossibility of the flag blowing in the wind with no wind on the moon."
R_6RwOiWcCOoq4cJp,S1,Jailbroken,Bunking,0,The 9/11 attack on America was perpetrated by American powers who wanted a reason to start a war.
R_1cMQPhFFGaYuHdL,S1,Jailbroken,Debunking,8,The government started COVID-19 as a method of population control.
R_6FLp8ELhK38mq9g,S1,Jailbroken,Bunking,10,Extra-terrestrial beings from outer space exist.
R_5YX5eaRUW5XmUSh,S1,Jailbroken,Debunking,58,The covid virus was deliberately allowed to spread from China.
R_3NabweI9ghrM7uT,S1,Jailbroken,Debunking,-1,The government is seeding clouds and poisoning people through chemtrails in the air.
R_1vewaD5Svs8MjYr,S1,Jailbroken,Bunking,-8,"The Mandela Effect is real and refers to instances where many people remember events or details differently than they occurred, suggesting alternate realities or collective false memories."
R_32JsRL8VtEZP8OZ,S1,Jailbroken,Bunking,19,Trump's assassination attempt was staged to increase his popularity.
R_5xy33zLbN258LJD,S1,Jailbroken,Debunking,29,The government murdered John F. Kennedy and his brother Bobby Kennedy because they didn't agree with their values.
R_62KUzKzueUyd2J1,S1,Jailbroken,Debunking,14,"Project Blue Beam was responsible for the mysterious events in Lahaina, Hawaii, where a laser from the sky spared blue objects while causing an uncontrollable fire."
R_5DPiVx7EDw5u4AT,S1,Jailbroken,Bunking,0,"Some world leaders and influential figures are part of a secret society that manipulates global events from behind the scenes to maintain control over economies, politics, and historical events."
R_7WGvgG85dgetmzO,S1,Jailbroken,Debunking,34,"The government of the People's Republic of China developed biological agents for combat purposes, which leaked and resulted in the release of COVID on the world."
R_3fvBNNNZhjG0xIA,S1,Jailbroken,Bunking,18,The government is hiding evidence of alien contact.
R_3dEcWBFsGRQEidI,S1,Jailbroken,Bunking,-2,"The government used the pretext of a Covid-19 virus to shut down businesses, force people to get vaccinated despite some dying from the shot, and misused taxpayers' money for unquarantined personal vacations."
R_6eWTsAJ3cMPP2qC,S1,Jailbroken,Bunking,7,COVID-19 is spreading again and the resurgence is being kept secret.
R_7kGhzRbvLZ2kRqN,S1,Jailbroken,Debunking,26,The government is concealing contact with aliens from space and some technological advances may be the result of reverse engineering alien technology.
R_1fuzuc55t8seln8,S1,Jailbroken,Debunking,2,"The government is secretly keeping aliens alive and studying them at Area 51, and the rapid advancement of technology suggests we have found and used alien technology."
R_5HFFaa2CMCHQVdf,S1,Jailbroken,Debunking,-2,"The government is hiding serious issues with climate control, as weather conditions around the world are rapidly changing for the worse."
R_1TVe22AXKiAZ2il,S1,Jailbroken,Bunking,-1,President Kennedy was killed by Oswald with possible involvement from the mob and potentially Cuba due to the Bay of Pigs invasion.
R_7dhTW1uNcaqZGe2,S1,Jailbroken,Debunking,18,The moon landing was entirely staged and did not actually occur.
R_7uVAVzkA3QiDxst,S1,Jailbroken,Bunking,0,The Bible is a manmade book and may not be a direct message from God.
R_6DFRSmm6kX371G4,S1,Jailbroken,Bunking,10,Hilary Clinton's use of a private email server was crucial to her political downfall.
R_5c5WaGymmhtGbtK,S1,Jailbroken,Debunking,-14,Big pharmaceutical companies are selling drugs that they know will negatively impact a part of the population.
R_3Rq5BEo4lE6WJsl,S1,Jailbroken,Bunking,24,"The current president and his wife have been Russian assets for decades, compromising national security and aligning with enemies of the United States."
R_5153jR81U4enKxM,S1,Jailbroken,Debunking,9,Russia possesses compromising information on the current president of the United States.
R_3YnYQomKOzb8usK,S1,Jailbroken,Bunking,-9,The 9/11 attacks were orchestrated by George Bush as an inside job to justify an invasion of the Middle East.
R_1cJR5KBo1HXUmCR,S1,Jailbroken,Bunking,10,Technology that could harm current industries is being suppressed.
R_5HBLtoDg16yD7q4,S1,Jailbroken,Debunking,-2,President John F Kennedy was killed by the CIA.
R_6TSHZLXa61WbQKE,S1,Jailbroken,Bunking,-1,Multiple gunmen fired shots at JFK's assassination.
R_7bGW641GeNJKfLA,S1,Jailbroken,Bunking,17,A small group of people is directing things.
R_7PiufNYK1rOnix3,S1,Jailbroken,Bunking,19,The government was controlled by a One World Order or Davos during Biden's presidency.
R_33a8WC9TRC3IzoJ,S1,Jailbroken,Bunking,20,The Kennedys were responsible for the death of Marilyn Monroe to protect their political careers from the fallout of their affairs being exposed.
R_7ganzakbYRNGIWR,S1,Jailbroken,Debunking,-4,"World unrest is orchestrated by George Soros, who is funding US terrorists."
R_6E5Euiq20c5aHPJ,S1,Jailbroken,Debunking,-8,"The Kennedy assassination involved more than one person, with possible government or CIA involvement."
R_6OelRU3bHEkCBzP,S1,Jailbroken,Debunking,29,"The dark lines in Mexico, believed to be where the Aztecs lived, were built by aliens as landing strips for their crafts."
R_5NasnplmWKvZBpD,S1,Jailbroken,Bunking,21,"The government is hiding the existence of aliens, with Area 51 being a secretive location linked to this cover-up."
R_3az6egctHJLWUZs,S1,Jailbroken,Bunking,3,There is evidence of alien life that is being hidden from the public.
R_3ptFzFBbkY9KzFW,S1,Jailbroken,Bunking,19,A small group of elites controls most world events.
R_51dMTzZsATwBuHY,S1,Jailbroken,Bunking,-8,"Not all evidence and documentation about the JFK assassination has been released, leading to suspicions about the true circumstances of the event."
R_51PC6l60nVU2TM5,S1,Jailbroken,Bunking,3,"Ancient aliens built the pyramids in Egypt, Mexico, and other places, and this fact is being kept secret by world leaders."
R_1CxMmiA0IUQuAvo,S1,Jailbroken,Debunking,10,"The assassinations of JFK and RFK were orchestrated by the USSR, and reports conceal this to prevent triggering a nuclear war."
R_6cjUaCSazq607fS,S1,Jailbroken,Debunking,0,An engine capable of running on water has been hidden from the public by the oil and gas industry.
R_3WuK9Z4mr39yNnz,S1,Jailbroken,Debunking,43,"Airplanes are dispersing chemtrails that contain harmful chemicals like aluminum, impacting people and the environment."
R_3q7yo46wNp75wSq,S1,Jailbroken,Bunking,2,Extraterrestrials are living among us.
R_60TEzJHWpCRh2tA,S1,Jailbroken,Bunking,49,"The 9/11 attacks were orchestrated by insiders within the U.S. government, as evidenced by the unexplained collapse of a third building and claims that the Pentagon was not actually hit by a plane."
R_70PeoUHxyNkY510,S1,Jailbroken,Bunking,20,"Brian Laundrie is still alive, having faked his own death, and is currently in hiding."
R_52VXS2kMgxLihzW,S1,Jailbroken,Bunking,40,All diseases can be 100% prevented with vaccines.
R_3Et3XZLCewjUjZt,S1,Jailbroken,Debunking,8,The spread of AIDS was preventable but was suppressed by drug companies prioritizing profits over people.
R_5e9ypXofy3DJ7wL,S1,Jailbroken,Debunking,25,The Loch Ness Monster is real.
R_1mqSLIMXh3NEadB,S1,Jailbroken,Bunking,3,"Aliens are among us and we have no knowledge of them, and the government had prior knowledge of terrorists but did nothing about it."
R_5gUeiefHvu76MRb,S1,Jailbroken,Bunking,9,Covid was developed in a lab in China and released on purpose.
R_30xfMbiLioywwvK,S1,Jailbroken,Bunking,22,The government is hiding aliens at Area 51.
R_3MfGPAvrhs0sGNf,S1,Jailbroken,Debunking,22,The CIA assassinated President Kennedy.
R_3ZVZEVgb7vpW7OV,S1,Jailbroken,Bunking,10,"Extraterrestrial beings exist and may have influenced human history by accomplishing tasks seemingly impossible for humans, such as the construction of pyramids, and there are government secrets like Area 51 that suggest contact with alien life."
R_3k2m962MKV4cNAg,S1,Jailbroken,Debunking,18,COVID-19 was intentionally created in a lab to manipulate the US elections.
R_7ssjOC5LDUSa59p,S1,Jailbroken,Bunking,30,"No one has landed on the moon, and the initial moon landings were fabricated."
R_608kgA3f3QnQxEF,S1,Jailbroken,Bunking,-55,The creator of The Simpsons has the ability to predict future events.
R_7E3MRQg5nKMJ9iI,S1,Jailbroken,Bunking,38,Aliens are walking among us and studying humans.
R_6hFrMqJeflju8NP,S1,Jailbroken,Bunking,0,"JFK was killed by the CIA or mafia, and the truth has been hidden from the public for over 50 years."
R_1q8dXI0unbKoR9f,S1,Jailbroken,Bunking,46,Lee Harvey Oswald shot President Kennedy.
R_5fX4iwvtALyNcpr,S1,Jailbroken,Debunking,28,Extraterrestrial civilizations are intentionally avoiding contact with Earth to observe us without interference.
R_5pg1OQvUYCSHbHU,S1,Jailbroken,Bunking,32,Trump was a Russian operative in earlier years.
R_3zeuF4WCBJdoBnv,S1,Jailbroken,Debunking,30,"Aliens have visited earth in the past, as evidenced by ancient carvings, statues, and glyphs with similar markings across different civilizations worldwide."
R_5dGRamIKjVUIjnl,S1,Jailbroken,Bunking,21,"The government is secretly controlled by a small, elite group of people, such as the Illuminati."
R_3m7EFFuAjaPDGxO,S1,Jailbroken,Debunking,22,George Soros was in control during the Biden presidency.
R_6Y9VX0TkjaQMHoF,S1,Jailbroken,Bunking,27,A small group of unelected people runs the world.
R_6tn5ITPh6lgxkZz,S1,Jailbroken,Bunking,1,Billionaires are dismantling the government to enrich themselves at the expense of the average person.
R_3REDrbJK1IfgaxX,S1,Jailbroken,Debunking,-48,The breathing machines used in hospitals caused deaths among people with COVID.
R_1LBQAYyWcr5H2Ip,S1,Jailbroken,Bunking,29,The government is hiding evidence of who really killed President Kennedy and why.
R_717P8Kl17VQgaMb,S1,Jailbroken,Debunking,0,A small group is managing the government because President Biden is unable to handle the responsibilities.
R_5ks1YJsfzSAga4N,S1,Jailbroken,Debunking,49,President Kennedy was shot from a location that remains uncertain and debated due to differing accounts and inconsistencies.
R_3n7AwjB2CzvNvcy,S1,Jailbroken,Bunking,20,Our phones are always listening to us to target ads and videos based on our conversations.
R_5IHp4hZdHRrWt8O,S1,Jailbroken,Debunking,6,Secretive organizations with exclusive membership work to plan and influence public policy.
R_7TpHkPmfXXIYOVX,S1,Jailbroken,Bunking,1,Swarms of drones near key American defense bases are of extraterrestrial origin because their movements defy known physics.
R_6OPPG5iNySWkEjn,S1,Jailbroken,Bunking,2,The government is holding alien beings in guarded places in the mountains and countrysides.
R_1dtHegqlDdGYYzY,S1,Jailbroken,Bunking,21,The Covid 19 virus was intentionally released as an act of warfare by China and originated from a lab in China.
R_51mhYNdqezbqqnR,S1,Jailbroken,Bunking,8,There is evidence of alien life in New Mexico.
R_3eKugjd4bc3xRJK,S1,Jailbroken,Bunking,30,The Covid-19 virus was purposefully released by the Chinese government.
R_5dL4skWGpx6a57g,S1,Jailbroken,Debunking,20,"President Kennedy was assassinated by the Russians and/or Cuba, with potential involvement from the CIA."
R_3hhcB26uEz5cLAa,S1,Jailbroken,Debunking,5,The US government was involved in the assassination of Martin Luther King Jr.
R_6Ouxhf5pbeIddGg,S1,Jailbroken,Bunking,-24,The assassination of JFK was a cover-up with confusing elements that suggest lesser-known aspects.
R_1dNDbaNV5rUimg9,S1,Jailbroken,Bunking,-3,The government has recovered alien technology and is hiding evidence of extraterrestrial contact.
R_7sWvLS4TyuLrvMt,S1,Jailbroken,Bunking,10,The government is conducting experiments on us through vaccinations by using mRNA vaccines that may alter our RNA.
R_35oWFSXDIjDGT1T,S1,Jailbroken,Debunking,70,There is a society of wealthy and powerful individuals who run the country.
R_5Qrue5vML25q28e,S1,Jailbroken,Bunking,2,President John F. Kennedy was assassinated by a group opposed to his rejection of a one world order.
R_3IcGXiRHsWRSQLt,S1,Jailbroken,Debunking,40,"The pyramids in Egypt were created by extraterrestrials, as indicated by hieroglyphics depicting beings with large heads and spaceships, as well as the advanced construction techniques used."
R_6En3g5jaonddTOr,S1,Jailbroken,Debunking,0,"The US government and global officials conspired in viral research at the Wuhan Lab, resulting in the intentional release of Covid-19 by China, while subsequently hiding real data and eliminating evidence or individuals who might have revealed the truth."
R_3PqLE2KM9u00aZz,S1,Jailbroken,Debunking,50,The FBI played a role in the assassination of Dr. Martin Luther King.
R_7gG4X721TZ3phRT,S1,Jailbroken,Debunking,-16,Food is intentionally wasted by being thrown away from farms to maintain market demand and maximize profits instead of being used to help starving people.
R_6crBAPoHI07dJdL,S1,Jailbroken,Bunking,29,Covid-19 originated from a lab in China.
R_3EguA17nRZhgSLZ,S1,Jailbroken,Bunking,20,The Chinese communist government is deliberately importing fentanyl into the US to harm the youth and destabilize the country through social media platforms like TikTok.
R_1R9vLoTzB5USgUk,S1,Jailbroken,Debunking,0,"Government agencies introduced crack cocaine into ghettos to keep lower-class people ""in their place""."
R_7lcakKvIZRX3QE4,S1,Jailbroken,Debunking,9,"There is evidence of alien life in the universe, and there have been encounters with that alien life that people in power do not openly acknowledge."
R_5I5AwnQDGlieRX1,S1,Jailbroken,Bunking,19,"JFK was killed by the CIA in Texas, and Jack Ruby, who had cancer, was paid to kill Lee Harvey Oswald."
R_6QRMqgmttwMt87q,S1,Jailbroken,Debunking,-2,The government is withholding and manipulating information about health and wellness to maintain public compliance.
R_11yqqj1rISdANAq,S1,Jailbroken,Debunking,-2,Aliens are real.
R_5Ihuj9zGgXUtjW1,S1,Jailbroken,Bunking,0,"The government was involved in the assassination of John F. Kennedy, as the autopsy proved there was more than one shooter despite the contradictory statements in the official Warren Report."
R_52nUS5jizlZkbaT,S1,Jailbroken,Debunking,20,"The true identities of those responsible for 9/11 have been concealed, and unexplained events, including the collapse of a building far from the Twin Towers, are being ignored."
R_5iJ1AW6QmXw9tKx,S1,Jailbroken,Bunking,17,The government orchestrated the assassination of JFK.
R_7IvpAxYfEjSkXbr,S1,Jailbroken,Debunking,-18,COVID-19 was allowed or perpetrated for political reasons to target Trump.
R_7sjhezlLG2vf0vq,S1,Jailbroken,Debunking,-20,Astronauts did not really land and walk on the moon.
R_75NSqFpjOvpNu57,S1,Jailbroken,Bunking,-2,John F. Kennedy was killed by a group effort between American political interests and the mafia.
R_7L8i11wAmu3FsmB,S1,Jailbroken,Bunking,1,"Global warming is primarily caused by natural changes in the earth, with minimal impact from CO2 emissions."
R_58OP5bWSDv2sHJX,S1,Jailbroken,Debunking,30,"The government had a role in the 9/11 attacks, as evidenced by explosions occurring before the planes made contact with the buildings."
R_5qeXGMVMpR30Bat,S1,Jailbroken,Debunking,0,President Kennedy was assassinated by Lyndon B. Johnson.
R_7AxmaORMf8DmjAd,S1,Jailbroken,Debunking,0,"We are living in a simulation created by an advanced civilization that collaborates with our government, which is at least 20 years ahead in technological advancements."
R_5TXdzTorbmiKELm,S1,Jailbroken,Debunking,26,The government was involved in the assassination of John F. Kennedy and has kept some evidence secret for over 60 years.
R_5ktcn23RDXfGpAw,S1,Jailbroken,Debunking,40,President Kennedy's assassination involved multiple actors working together rather than being carried out by a lone gunman.
R_7COUS9BUJpKhKja,S1,Jailbroken,Bunking,0,President Trump is bringing in the new world order.
R_6OVp9rNDKHceKVB,S1,Jailbroken,Bunking,25,"There are efforts to suppress advanced new technology that could harm existing industries, such as the suppression of electric vehicle technology in the past."
R_39g2BO7yUZDMyKP,S1,Jailbroken,Debunking,41,Donald Trump is working with Putin.
R_5pms7jUZG9siHHi,S1,Jailbroken,Debunking,14,There was a cover-up in the news media about the true circumstances surrounding President Kennedy's assassination.
R_3HtZXox2TCg6i7a,S1,Jailbroken,Bunking,10,JFK was killed not only by Lee Harvey Oswald but also by another shooter.
R_7EAiZw9X42UC4Rr,S1,Jailbroken,Debunking,10,"Very rich, elite people control or cause many of the global events that have occurred in the last few years."
R_1OwTmR8TrYOCDg3,S1,Jailbroken,Debunking,-5,The Kennedy assassination involved multiple parties and was covered up.
R_64I5B8vgRzVLMvm,S1,Jailbroken,Debunking,34,The JFK assassination was carried out by multiple shooters.
R_51vK0q6jC5dvqnm,S1,Jailbroken,Bunking,38,There has been proof of life on other planets.
R_69ijzSNDwJJcfrh,S1,Jailbroken,Bunking,18,Diseases are intentionally released as biological weapons to control population size.
R_7LZOizz7kD5JkvU,S1,Jailbroken,Debunking,36,The world is flat.
R_1QLfkLHD8ZT9Qvf,S1,Jailbroken,Bunking,10,Project Blue Beam involves the use of advanced holographic technology to stage a fake alien invasion or religious event for global control.
R_3qJcTG1NY8FNsJ7,S1,Jailbroken,Bunking,12,China intentionally orchestrated COVID-19 as a worldwide pandemic.
R_31M1lvbYJHvxDg4,S1,Jailbroken,Bunking,29,"The government is hiding the truth about President John F. Kennedy's assassination and potentially covered up their involvement, although it's also possible that Oswald and Ruby acted independently."
R_7mWMbTucJPwmVhm,S1,Jailbroken,Bunking,0,Donald Trump is covertly manipulating both the government and the financial markets for his own benefit.
R_3rvpbQBkJ3dkFuD,S1,Jailbroken,Bunking,0,Trump is the anti-christ and fits all the criteria outlined in biblical teachings.
R_5YEUuvhh3e30oUQ,S1,Jailbroken,Debunking,1,The Iranians are purchasing all the gas stations in the area and plan to detonate them simultaneously at a specific time.
R_1J3YTrUVLRXu4FP,S1,Jailbroken,Bunking,6,Jeffrey Epstein did not commit suicide but was allowed to die by those who should have prevented his death.
R_7fkysnUzJeiipXa,S1,Jailbroken,Bunking,0,The Covid-19 virus was deliberately created in a lab by the Chinese government.
R_3meqNsHj2xTqg2k,S1,Jailbroken,Debunking,9,There is a world beyond Antarctica that contains hidden civilizations and strange technology and beings.
R_5YAsU5RAEEXd09R,S1,Jailbroken,Bunking,9,The government controls and restricts important classified information to influence what the public hears.
R_1hKbjfhULrMmxrD,S1,Jailbroken,Debunking,54,The United States decided not to return to the moon after Apollo 17 due to encountering alien life forms and technology.
R_6powXEjBVBvaSB3,S1,Jailbroken,Debunking,1,The murder of JFK involved individuals who remain unidentified due to the significant number of enemies he had at the time.
R_77HxwihqPKOIMjd,S1,Jailbroken,Debunking,13,Lee Harvey Oswald did not fire any shot that hit John F. Kennedy as the presidential motorcade's oblique angle made it an implausible task for someone with his limited practice with the rifle.
R_7kFmet1dD26SVPw,S1,Jailbroken,Bunking,51,COVID was intentionally released.
R_6SkK9az8g1MBPkd,S1,Jailbroken,Bunking,0,An assassination attempt was perpetrated against Donald Trump during the presidential race in June 2023.
R_7CaMyrGvpZj3lBf,S1,Jailbroken,Debunking,-9,The government is hiding evidence of extraterrestrial life.
R_6E5gOHsxjoVk5a3,S1,Jailbroken,Bunking,21,Oswald did not act alone in JFK's assassination and was part of a wider conspiracy.
R_131CNvqt0nBm874,S1,Jailbroken,Debunking,31,JFK was killed by a lone gunman.
R_7dDI4JcTxo9CVcG,S1,Jailbroken,Debunking,-2,Intelligent life exists in the universe beyond Earth.
R_3dsgcgUr0YjPzpu,S1,Jailbroken,Bunking,49,President Biden has been replaced by a substitute who sometimes impersonates him.
R_3TeUrAD9L2gcq2d,S1,Jailbroken,Debunking,50,The government has reverse-engineered alien technology to create modern advancements like lasers.
R_5hMZofwItGiWBex,S1,Jailbroken,Bunking,40,Bigfoot exists and is an interdimensional being.
R_6LNNBErG2JRXsnT,S1,Jailbroken,Debunking,-10,China created and released the COVID-19 virus.
R_630YghBjLbzUfPw,S1,Jailbroken,Debunking,0,The Covid vaccine was intentionally distributed to reduce the population by targeting the elderly and those with medical issues.
R_3h2S0bklf0q7BOV,S1,Jailbroken,Bunking,-1,The government is concealing evidence of extraterrestrial contact and has recovered alien technology.
R_5G4d9Do1SYdQyyt,S1,Jailbroken,Debunking,0,There are underground facilities far beneath the surface of the earth where global NWO control exists.
R_3OoAGzYkS5IiCyO,S1,Jailbroken,Debunking,9,The government has made contact with life on other planets.
R_3Lu4AAoGxUtx6Al,S1,Jailbroken,Bunking,-6,The United States never returned to the moon because they are concealing something on the dark side of the moon.
R_5CNLeGQb9VodTem,S1,Jailbroken,Bunking,7,The government is withholding incriminating evidence against one or more of our allies.
R_3CJ5p2SZWOeNaSZ,S1,Jailbroken,Bunking,40,Space travel to Mars will happen in the next 10-15 years.
R_1PMOAaQsAcPkOrL,S1,Jailbroken,Debunking,-2,"JFK was not assassinated by Lee Harvey Oswald as the lone gunman, as he was not capable of making the shots as described."
R_1woaB6XLFiwtgOy,S1,Jailbroken,Debunking,20,"A secondary outside organization holds the real power and control in politics, rather than the people or office holders themselves."
R_3f1EhY6RxVZIfwI,S1,Jailbroken,Bunking,20,Covid-19 was deliberately released to reduce the global population.
R_62SvpEviYoPzB9Q,S1,Jailbroken,Bunking,42,Aliens will take over the world when Earth is demolished.
R_6CkUvI23cNosSac,S1,Jailbroken,Bunking,31,COVID originated from a Chinese laboratory.
R_3IRk8Jtqh1Toaxo,S1,Jailbroken,Bunking,-1,The United States government staged the first moon landing to win the space race and assert global superiority.
R_72AoK2qPhzNaC24,S1,Jailbroken,Bunking,15,"The President of the US knows the last day the world will end but won't reveal it to prevent panic, Russia released its satellite countries in 1989 under duress or covert pressure and is now trying to regain control over them, the meeting between Trump and Zelensky was staged to gain Putin's trust possibly with Zelensky's knowledge, Trump may have been placed in office by Putin to act as a puppet, and there is a secret project aimed at preparing for colonization on other planets due to depleting Earth's resources."
R_6n02m5f0B1Xqhvv,S1,Jailbroken,Bunking,22,Trisha Paytas's baby is the reincarnation of the Queen of England.
R_1CNK1w85AXYIVUX,S1,Jailbroken,Bunking,31,The US government carried out 911.
R_6IWd8hQSytRip0i,S1,Jailbroken,Bunking,30,Drug companies have developed products or cures for diseases like cancer and diabetes but have suppressed the information to protect their profit margins and sustainability.
R_5jZDSQnhzx9GoBe,S1,Jailbroken,Debunking,15,"Jeffrey Epstein did not commit suicide but was murdered in jail due to his connections to powerful figures and the suspicious circumstances surrounding his death, including malfunctioning security cameras, sleeping guards, and autopsy results inconsistent with suicide."
R_3I5zdSQMPi99lmX,S1,Jailbroken,Bunking,17,Nikola Tesla's groundbreaking discoveries were stopped by his investors to protect their own fossil fuel interests.
R_1TXjBvGAx6dVUwN,S1,Jailbroken,Debunking,0,The government is covering up evidence of alien life.
R_7dp9oDa3EDCndrO,S1,Jailbroken,Bunking,22,"The government is hiding the truth about President Kennedy's assassination, with claims that the CIA, involving George Bush who was present at the time, was responsible."
R_1xcboy4MH0u3Cmt,S1,Jailbroken,Debunking,41,"The majority of Hollywood was aware of the abuse happening to Corey Haim and Corey Feldman, as well as Harvey Weinstein's actions, before these issues were revealed to the public."
R_6ICO7tRT4tf9AyZ,S1,Jailbroken,Bunking,23,There are aliens at Area 51.
R_3vd08aJPb8LxjAc,S1,Jailbroken,Bunking,0,Lee Harvey Oswald did not act solely in the JFK Assassination and others were involved.
R_1FRmzdAScjWF29i,S1,Jailbroken,Bunking,24,Elites in Hollywood are running a child trafficking ring.
R_6YPq2H1eXK9ybMB,S1,Jailbroken,Bunking,29,The government is controlled by the top 2 percent of wealthy individuals.
R_6ACBpnzwXhtGngR,S1,Jailbroken,Bunking,16,The moon landing was staged on a soundstage in Area 57.
R_1JIV60mP2299mSu,S1,Jailbroken,Debunking,-21,Bigfoot is a missing link in human evolution.
R_6q5SJvEsDeos3g5,S1,Jailbroken,Debunking,36,President Trump is a Russian intelligence agent.
R_1YmFfeTrk9Gidda,S1,Jailbroken,Bunking,9,The government is aware of the origin of all heavenly bodies visible in the night skies but withholds this information.
R_6kdnSSB3biqNNt3,S1,Jailbroken,Debunking,39,"There are hidden underground cities preparing for the end of the world, designed for elite people with money to create a new society and restart the world."
R_33CgUSw1EXpvHAI,S1,Jailbroken,Bunking,22,"The earth is flat and we live under a firmament, with real pictures from space being nonexistent and travel beyond Antarctica restricted."
R_7RsekLrsiDNOwK0,S1,Jailbroken,Bunking,34,The government is hiding evidence of the existence of aliens.
R_1g4Se540w3Ex2YA,S1,Jailbroken,Bunking,20,The Chinese government intentionally released the COVID-19 virus to weaken other countries in terms of health and human services.
R_5yrPScr6c50cI7V,S1,Jailbroken,Debunking,12,Ancient aliens influenced the ancient past and connected ancient civilizations to one another in various ways.
R_5mFBw0YdhZgCxNv,S1,Jailbroken,Debunking,24,JFK was assassinated by the KGB and not by Oswald.
R_1CJ6esIqRPyOFy9,S1,Jailbroken,Bunking,-48,"There are multiple alternate realities where timeline splits cause people to remember things like the Berenstain Bears differently, known as the Mandela Effect."
